Species,Source,Date,Location,sample,BioSample,Estado,Região
Acinetobacter baumannii,peritoneal fluid,2016.0,Brazil,GCA_009829535.1,SAMN13622372,,
Acinetobacter baumannii,tracheal secretion,2016.0,Brazil,GCA_009829555.1,SAMN13622395,,
Acinetobacter baumannii,tracheal secretion,2016.0,Brazil,GCA_009829595.1,SAMN13622394,,
Acinetobacter baumannii,bronchoalveolar wash,2016.0,"Sao Paulo, Sao Paulo",GCA_009898245.1,SAMN12127415,SP,Sul
Lactobacillus crispatus,vagina,,Brazil,GCA_015708055.1,SAMN14773342,,
Lactobacillus crispatus,vagina,,Brazil,GCA_015708065.1,SAMN14772552,,
Lactobacillus crispatus,vagina,,Brazil,GCA_015708075.1,SAMN14771635,,
Lactobacillus crispatus,vagina,,Brazil,GCA_015708105.1,SAMN14771428,,
Acinetobacter pittii,sputum,2009.0,Brazil,GCF_001684275.1,SAMN03485844,,
Acinetobacter pittii,tracheal secretion,2014.0,Belem,GCF_001617545.1,SAMN04576523,PA,Norte
Acinetobacter pittii,rectal swab,2023.0,Brazil,GCA_036907395.1,SAMN40036820,,
Neisseria gonorrhoeae,urethra,2016.0,Florianopolis,GCA_023096125.1,SAMN26195802,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096005.1,SAMN26195807,SC,Sul
Neisseria gonorrhoeae,urethra,2016.0,Florianopolis,GCA_023096025.1,SAMN26195808,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096105.1,SAMN26195805,SC,Sul
Neisseria gonorrhoeae,blood,2018.0,Florianopolis,GCA_023096155.1,SAMN26195803,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096145.1,SAMN26195801,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096065.1,SAMN26195806,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096205.1,SAMN26195800,SC,Sul
Neisseria gonorrhoeae,urethra,2013.0,Florianopolis,GCA_023096165.1,SAMN26195804,SC,Sul
Neisseria gonorrhoeae,blood,2018.0,Florianopolis,GCA_023096265.1,SAMN26195797,SC,Sul
Neisseria gonorrhoeae,urethra,2015.0,Florianopolis,GCA_023096225.1,SAMN26195799,SC,Sul
Neisseria gonorrhoeae,urethra,2013.0,Florianopolis,GCA_023096245.1,SAMN26195798,SC,Sul
Neisseria gonorrhoeae,blood culture,2017.0,Sao Paulo,,SAMN43046011,SP,Sul
Neisseria gonorrhoeae,genital secretion,2017.0,Sao Paulo,,SAMN43046010,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2017.0,Sao Paulo,,SAMN43046009,SP,Sul
Neisseria gonorrhoeae,genital secretion,2020.0,Sao Paulo,,SAMN43046006,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2019.0,Sao Paulo,,SAMN43046005,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2017.0,Sao Paulo,,SAMN43046008,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2020.0,Sao Paulo,,SAMN43046007,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2018.0,Sao Paulo,,SAMN43046004,SP,Sul
Neisseria gonorrhoeae,genital secretion,2019.0,Sao Paulo,,SAMN43046001,SP,Sul
Neisseria gonorrhoeae,genital secretion,2019.0,Sao Paulo,,SAMN43046002,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2017.0,Sao Paulo,,SAMN43046000,SP,Sul
Neisseria gonorrhoeae,blood culture,2018.0,Sao Paulo,,SAMN43046003,SP,Sul
Neisseria gonorrhoeae,genital secretion,2017.0,Sao Paulo,,SAMN43045999,SP,Sul
Neisseria gonorrhoeae,blood culture,2017.0,Sao Paulo,,SAMN43045998,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2017.0,Sao Paulo,,SAMN43045996,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2017.0,Sao Paulo,,SAMN43045994,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2017.0,Sao Paulo,,SAMN43045995,SP,Sul
Neisseria gonorrhoeae,genital secretion,2018.0,Sao Paulo,,SAMN43045993,SP,Sul
Neisseria gonorrhoeae,genital secretion,2017.0,Sao Paulo,,SAMN43045992,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2018.0,Sao Paulo,,SAMN43045990,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2018.0,Sao Paulo,,SAMN43045989,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2019.0,Sao Paulo,,SAMN43045988,SP,Sul
Neisseria gonorrhoeae,conjunctival secretion,2019.0,Sao Paulo,,SAMN43045987,SP,Sul
Neisseria gonorrhoeae,synovial fluid,2018.0,Sao Paulo,,SAMN43045991,SP,Sul
Neisseria gonorrhoeae,abscess,2018.0,Sao Paulo,GCA_012956785.1,SAMN14595377,SP,Sul
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148445.1,SAMN05437673,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148455.1,SAMN05437674,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148485.1,SAMN05437675,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148505.1,SAMN05437879,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Betim",GCA_002148525.1,SAMN05437672,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Congonhas",GCA_002148545.1,SAMN05437771,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148555.1,SAMN05437878,MG,Sudeste
Neisseria meningitidis,blood,2011.0,"Minas Gerais, Ouro Branco",GCA_002148565.1,SAMN05437686,MG,Sudeste
Neisseria meningitidis,blood,2012.0,Rio de Janeiro,GCA_002148605.1,SAMN05437880,RJ,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2000.0,Sao Paulo,GCA_002708685.1,SAMN07811783,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2003.0,"Sao Paulo, Sao Paulo",GCA_006334505.1,SAMN10797814,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2007.0,"Sao Paulo, Sao Paulo",GCA_006334535.1,SAMN10797872,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2006.0,"Sao Paulo, Sao Paulo",GCA_006334565.1,SAMN10797870,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2010.0,"Sao Paulo, Sao Paulo",GCA_006334585.1,SAMN10797941,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2011.0,"Sao Paulo, Sao Paulo",GCA_006334615.1,SAMN10797943,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2012.0,"Sao Paulo, Sao Paulo",GCA_006334635.1,SAMN10797950,SP,Sul
Neisseria meningitidis,blood,2013.0,"Sao Paulo, Sao Paulo",GCA_006334625.1,SAMN10798054,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2004.0,"Sao Paulo, Sao Paulo",GCA_006334675.1,SAMN10797815,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2008.0,"Sao Paulo, Sao Paulo",GCA_006334695.1,SAMN10797940,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2015.0,"Sao Paulo, Sao Paulo",GCA_006334705.1,SAMN10798087,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2014.0,"Sao Paulo, Sao Paulo",GCA_006334715.1,SAMN10798069,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Sao Paulo, Sao Paulo",GCA_006334765.1,SAMN10798137,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Sao Paulo, Sao Paulo",GCA_006334775.1,SAMN10798140,SP,Sul
Neisseria meningitidis,blood,2009.0,"Sao Paulo, Sao Paulo",GCA_006334795.1,SAMN10798203,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,1976.0,"Sao Paulo, Sao Paulo",GCA_006334805.1,SAMN10799018,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,1990.0,"Sao Paulo, Sao Paulo",GCA_006334815.1,SAMN10798192,SP,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo, Sao Paulo",GCA_006334835.1,SAMN10798248,SP,Sul
Neisseria meningitidis,blood,2013.0,"Sao Paulo, Sao Paulo",GCA_008180275.1,SAMN12635382,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768675.1,SAMN13545336,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768665.1,SAMN13545342,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768685.1,SAMN13545326,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768695.1,SAMN13545331,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768745.1,SAMN13545348,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768775.1,SAMN13545355,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768765.1,SAMN13545367,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768785.1,SAMN13545351,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2000.0,"Sao Paulo, Sao Paulo",GCA_009768805.1,SAMN13545373,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Criciuma",GCA_015827145.1,SAMN12628076,SC,Sul
Neisseria meningitidis,blood,2017.0,"Santa Catarina, Florianopolis",GCA_015827185.1,SAMN12627901,SC,Sul
Neisseria meningitidis,blood,2017.0,"Santa Catarina, Itajai",GCA_015827135.1,SAMN12627670,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Sao Jose",GCA_015827195.1,SAMN12627956,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Florianopolis",GCA_015827225.1,SAMN12628093,SC,Sul
Neisseria meningitidis,blood,2018.0,"ao Paulo,Presidente Prudente",GCA_015827435.1,SAMN13046565,SP,Sul
Neisseria meningitidis,blood,2018.0,"Ceara,Fortaleza",GCA_015827425.1,SAMN13046566,CE,Nordeste
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Minas Gerais,Alfenas",GCA_015827465.1,SAMN13046639,MG,Sudeste
Neisseria meningitidis,blood,2019.0,"Santa Catarina,Sao Jose",GCA_015827445.1,SAMN13046640,SC,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo,Sao Jose do Rio Preto",GCA_015827475.1,SAMN13046968,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo,Sorocaba",GCA_015827525.1,SAMN13046972,SP,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo,Sao Paulo",GCA_015827565.1,SAMN13046974,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo,Sao Paulo",GCA_015827535.1,SAMN13046973,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo,Guaianases",GCA_015827625.1,SAMN13047596,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Maranhao,Sao Luis",GCA_015827585.1,SAMN13046975,MA,Nordeste
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Maranhao,Sao Luis",GCA_015827575.1,SAMN13046978,MA,Nordeste
Neisseria meningitidis,blood,2018.0,"Rio de Janeiro,Rio de Janeiro",GCA_015827645.1,SAMN13047578,RJ,Sudeste
Neisseria meningitidis,blood,2018.0,"Parana,Fazenda Rio Grande",GCA_015827665.1,SAMN13047605,PR,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo,Sao Paulo",GCA_015827705.1,SAMN13047607,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Rio Grande do Sul,Porto Alegre",GCA_015827675.1,SAMN13047795,RS,Sul
Neisseria meningitidis,blood,2018.0,"Rio Grande do Sul, Porto Alegre",GCA_015827845.1,SAMN13165623,RS,Sul
Neisseria meningitidis,blood,2019.0,"Distrito Federal, Brasilia",GCA_015827865.1,SAMN13165767,DF,Centro-oeste
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Minas Gerais, Sao Romao",GCA_015827895.1,SAMN13166146,MG,Sudeste
Neisseria meningitidis,blood,2018.0,"Sao Paulo, Sao Paulo",GCA_015827885.1,SAMN13165691,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Rio Grande do Sul, Porto Alegre",GCA_015827925.1,SAMN13166148,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Rio Grande do Sul, Porto Alegre",GCA_015827935.1,SAMN13166159,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Parana, Maringa",GCA_015827945.1,SAMN13166160,PR,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Bahia, Salvador",GCA_015827985.1,SAMN13166183,BA,Nordeste
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015828025.1,SAMN13166568,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Minas Gerais, Belo Horizonte",GCA_015827995.1,SAMN13166182,MG,Sudeste
Neisseria meningitidis,blood,2019.0,"Distrito Federal, Brasilia",GCA_015828045.1,SAMN13166856,DF,Centro-oeste
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015828065.1,SAMN13167232,SP,Sul
Neisseria meningitidis,blood,2019.0,"Rio Grande do Sul, Porto Alegre",GCA_015828075.1,SAMN13166386,RS,Sul
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015828125.1,SAMN13167245,SP,Sul
Neisseria meningitidis,blood,2017.0,"Sao Paulo, Sao Paulo",GCA_015828085.1,SAMN13167244,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Rio Grande do Sul, Porto Alegre",GCA_015828145.1,SAMN13167554,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Minas Gerais, Belo Horizonte",GCA_015828155.1,SAMN13167369,MG,Sudeste
Neisseria meningitidis,blood,2019.0,"Santa Catarina, Joacaba",GCA_015828215.1,SAMN13167370,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Minas Gerais, Uberlandia",GCA_015828195.1,SAMN13167558,MG,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Bahia, Salvador",GCA_015828185.1,SAMN13167426,BA,Nordeste
Neisseria meningitidis,blood,2017.0,"Pernambuco, Recife",GCA_015828245.1,SAMN13167725,PE,Nordeste
Neisseria meningitidis,blood,2017.0,"Minas Gerais, Itauna",GCA_015828275.1,SAMN13167901,MG,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Sao Paulo, Sao Paulo",GCA_015828285.1,SAMN13545478,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Sao Paulo, Sao Paulo",GCA_015828295.1,SAMN13545404,SP,Sul
Neisseria meningitidis,blood,2017.0,"Parana, Curitiba",GCA_015828265.1,SAMN13167694,PR,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Parana, Araucaria",GCA_015828365.1,SAMN13545530,PR,Sul
Neisseria meningitidis,blood,2017.0,"Sao Paulo, Sao Paulo",GCA_015828315.1,SAMN13545529,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Sao Paulo, Sao Paulo",GCA_015828385.1,SAMN13545683,SP,Sul
Neisseria meningitidis,blood,2017.0,"Sao Paulo, Sao Paulo",GCA_015828395.1,SAMN13545531,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Distrito Federal, Brasilia",GCA_015828405.1,SAMN13545532,DF,Centro-oeste
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo, Sao Paulo",GCA_015828465.1,SAMN13545684,SP,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo, Sao Jose do Rio Preto",GCA_015828485.1,SAMN13545688,SP,Sul
Neisseria meningitidis,blood,2017.0,"Sao Paulo, Sao Paulo",GCA_015828495.1,SAMN13545687,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Rio Grande do Sul, Porto Alegre",GCA_015828445.1,SAMN13545682,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Balneario Camboriu",GCA_015828525.1,SAMN13545686,SC,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo, Sao Paulo",GCA_015828545.1,SAMN13545689,SP,Sul
Neisseria meningitidis,blood,2018.0,"Sao Paulo, Sao Paulo",GCA_015828555.1,SAMN13545716,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Sao Paulo, Sao Bernardo do Campo",GCA_015828585.1,SAMN13545690,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Prio Grande do Sul, Porto Alegre",GCA_015828595.1,SAMN13545715,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo, Jundiai",GCA_015828625.1,SAMN13545717,SP,Sul
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015828665.1,SAMN13545782,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Santa Catarina, Brusque",GCA_015828655.1,SAMN13545803,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Prio Grande do Sul, Porto Alegre",GCA_015828645.1,SAMN13545718,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Rio Grande do Sul, Porto Alegre",GCA_015828705.1,SAMN13545756,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,1992.0,"Sao Paulo, Sorocaba",GCA_015828725.1,SAMN13841843,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2013.0,"Santa Catarina, Sao Joao Batista",GCA_015828745.1,SAMN13841849,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Rio Grande do Sul, Porto Alegre",GCA_015828755.1,SAMN13841935,RS,Sul
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015828765.1,SAMN13841983,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Sao Paulo, Sao Paulo",GCA_015828945.1,SAMN13865324,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Santa Catarina, Balneario Cambureu",GCA_015828925.1,SAMN13865323,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Sao Paulo, Sao Paulo",GCA_015828965.1,SAMN13865339,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Balneario Cambureu",GCA_015829015.1,SAMN13865359,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Minas Gerais, Santa Luzia",GCA_015829005.1,SAMN13865340,MG,Sudeste
Neisseria meningitidis,blood,2017.0,"Santa Catrina, Florianopolis",GCA_015828985.1,SAMN13865325,SC,Sul
Neisseria meningitidis,blood,2017.0,"Sao Paulo, Sao Paulo",GCA_015829045.1,SAMN13865353,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Sao Paulo, Sao Paulo",GCA_015829085.1,SAMN13865360,SP,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Santa Catarina, Passo de Torres",GCA_015829195.1,SAMN13978336,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Rio Grande do Sul, Porto Alegre",GCA_015829265.1,SAMN13978362,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Minas Gerais, Timoteo",GCA_015829235.1,SAMN13978364,MG,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Blumenau",GCA_015829295.1,SAMN12628114,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Tubarao",GCA_015829325.1,SAMN12628134,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Jaragua do Sul",GCA_015829335.1,SAMN12628141,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Florianopolis",GCA_015829365.1,SAMN12628150,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Florianopolis",GCA_015829405.1,SAMN12628211,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Florianopolis",GCA_015829375.1,SAMN12628189,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Blumenau",GCA_015829415.1,SAMN12628232,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Blumenau",GCA_015829445.1,SAMN12628273,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Florianopolis",GCA_015829455.1,SAMN12628280,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Joinville",GCA_015829475.1,SAMN12838285,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Itaji",GCA_015829495.1,SAMN12838286,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Itaji",GCA_015829525.1,SAMN12838288,SC,Sul
Neisseria meningitidis,blood,2016.0,"Santa Catarina, Florianopolis",GCA_015829545.1,SAMN12838291,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Itaji",GCA_015829585.1,SAMN12838289,SC,Sul
Neisseria meningitidis,blood,2017.0,"Santa Catarina, Blumenau",GCA_015829555.1,SAMN12838290,SC,Sul
Neisseria meningitidis,blood,2016.0,"Santa Catarina, Florianopolis",GCA_015829625.1,SAMN12838348,SC,Sul
Neisseria meningitidis,blood,2016.0,"Santa Catarina, Itajai",GCA_015829595.1,SAMN12838339,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Santa Catarina, Tijucas",GCA_015829635.1,SAMN12838354,SC,Sul
Neisseria meningitidis,blood,2019.0,"Santa Catarina, Florianopolis",GCA_015829675.1,SAMN12838537,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Santa Catarina, Itajai",GCA_015829645.1,SAMN12838346,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Santa Catarina, Balneario Camburiu",GCA_015829715.1,SAMN12838625,SC,Sul
Neisseria meningitidis,blood,2016.0,"Santa Catarina, Governador Celso Ramos",GCA_015829705.1,SAMN12838419,SC,Sul
Neisseria meningitidis,blood,2019.0,"Santa Catarina, Blumenau",GCA_015829765.1,SAMN12838572,SC,Sul
Neisseria meningitidis,blood,2019.0,"Santa Catarina, Sao Jose",GCA_015829775.1,SAMN12838675,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2019.0,"Santa Catarina, Sao Jose",GCA_015829735.1,SAMN12838597,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Santa Catarina, Sao Jose",GCA_015829805.1,SAMN12838685,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Chapeco",GCA_015829815.1,SAMN12838735,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2016.0,"Santa Catarina, Florianopolis",GCA_015829835.1,SAMN12838687,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Blumenau",GCA_015829825.1,SAMN12838734,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Florianopolis",GCA_015829885.1,SAMN12838765,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Florianopolis",GCA_015829905.1,SAMN12838767,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Criciuma",GCA_015829915.1,SAMN12838784,SC,Sul
Neisseria meningitidis,blood,2018.0,"Santa Catarina, Criciuma",GCA_015829925.1,SAMN12838926,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Blumenau",GCA_015829975.1,SAMN12838929,SC,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Santa Catarina, Criciuma",GCA_015829945.1,SAMN12838905,SC,Sul
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_015830015.1,SAMN12839021,SP,Sul
Neisseria meningitidis,blood,2019.0,"Parana,Campo Magro",GCA_015831625.1,SAMN14896279,PR,Sul
Neisseria meningitidis,blood,2019.0,"Brasilia, Distrito Federal",GCA_015831645.1,SAMN14896280,DF,Centro-oeste
Neisseria meningitidis,blood,2019.0,"Rio Grande do Sul, Porto Alegre",GCA_015831695.1,SAMN14918491,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Rio Grande do Sul,Porto Alegre",GCA_016432995.1,SAMN13047582,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2018.0,"Rio Grande do Sul,Porto Alegre",GCA_016433015.1,SAMN13047603,RS,Sul
Neisseria meningitidis,blood,2018.0,"Rio Grande do Sul,Porto Alegre",GCA_016433035.1,SAMN13047591,RS,Sul
Neisseria meningitidis,cerebrospinal fluid,2017.0,"Santa Catarina, Itajai",GCA_015827125.1,SAMN12627900,SC,Sul
Neisseria meningitidis,blood,2009.0,"Bahia, Porto Seguro",GCA_017918155.1,SAMN03286964,BA,Nordeste
Neisseria meningitidis,blood,2011.0,Pernambuco,GCA_018109405.1,SAMN05410612,PE,Nordeste
Neisseria meningitidis,blood,2012.0,Pernambuco,GCA_018109425.1,SAMN05410904,PE,Nordeste
Neisseria meningitidis,blood,2010.0,Pernambuco,GCA_018109435.1,SAMN05410591,PE,Nordeste
Neisseria meningitidis,blood,2011.0,Pernambuco,GCA_018135735.1,SAMN05413724,PE,Nordeste
Neisseria meningitidis,blood,2014.0,Brazil,GCA_018135745.1,SAMN05413738,,
Neisseria meningitidis,blood,2012.0,Rio de Janeiro,GCA_018135755.1,SAMN05413737,RJ,Sudeste
Neisseria meningitidis,blood,2011.0,Pernambuco,GCA_018135765.1,SAMN05413708,PE,Nordeste
Neisseria meningitidis,blood,2015.0,Brazil,GCA_018135785.1,SAMN05413707,,
Neisseria meningitidis,blood,2014.0,Brazil,GCA_018135835.1,SAMN05413763,,
Neisseria meningitidis,blood,2015.0,Brazil,GCA_018135855.1,SAMN05413765,,
Neisseria meningitidis,blood,2015.0,Brazil,GCA_018135865.1,SAMN05414884,,
Neisseria meningitidis,blood,2012.0,Pernambuco,GCA_018135935.1,SAMN05415277,PE,Nordeste
Neisseria meningitidis,blood,2015.0,Brazil,GCA_018135915.1,SAMN05413836,,
Neisseria meningitidis,blood,2015.0,Brazil,GCA_018135895.1,SAMN05414886,,
Neisseria meningitidis,blood,2019.0,"Minas Gerais, Belo Horizonte",GCA_021432525.1,SAMN14884574,MG,Sudeste
Neisseria meningitidis,cerebrospinal fluid,2001.0,"Minas Gerais, Contagem",GCA_021432545.1,SAMN14776757,MG,Sudeste
Neisseria meningitidis,blood,2019.0,"Parana, Quedas do Iguacu",GCA_021654075.1,SAMN14777004,PR,Sul
Neisseria meningitidis,blood,2019.0,"Minas Gerais, Belo Horizonte",GCA_021654095.1,SAMN14884675,MG,Sudeste
Neisseria meningitidis,blood,2019.0,"Sao Paulo, Sao Paulo",GCA_022392845.1,SAMN14776999,SP,Sul
