Species,Source,Date,Location,sample,BioSample,Estado,Região
Salmonella enterica,feces,1984.0,Brazil,GCF_001595155.1,SAMN03941092,,
Salmonella enterica,feces,1984.0,Brazil,GCF_001595185.1,SAMN03941090,,
Salmonella enterica,feces,1984.0,Brazil,GCF_001595195.1,SAMN03941089,,
Salmonella enterica,feces,1984.0,Brazil,GCF_001595225.1,SAMN03941088,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595235.1,SAMN03941086,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595265.1,SAMN03941085,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595275.1,SAMN03941084,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595305.1,SAMN03941083,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595315.1,SAMN03941082,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595345.1,SAMN03941081,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001595355.1,SAMN03941080,,
Salmonella enterica,feces,1983.0,Brazil,GCF_001714645.1,SAMN03941087,,
Salmonella enterica,Wound secretion,2012.0,Rio Grande do Sul,GCA_002252345.1,SAMN07431981,RS,Sul
Salmonella enterica,blood,2014.0,Rio de Janeiro State,GCA_002252355.1,SAMN07428911,RJ,Sudeste
Salmonella enterica,blood,2012.0,Rio Grande do Sul,GCA_002252365.1,SAMN07429440,RS,Sul
Salmonella enterica,Abdominal abscess,2012.0,Rio Grande do Sul,GCA_002252405.1,SAMN07432234,RS,Sul
Salmonella enterica,Rectal Swab,2011.0,Santa Catarina,GCA_002252465.1,SAMN07432681,SC,Sul
Salmonella enterica,Wound secretion,2012.0,Rio Grande do Sul,GCA_002252605.1,SAMN07431992,RS,Sul
Salmonella enterica,blood,2011.0,Minas Gerais,GCA_002300265.1,SAMN07444097,MG,Sudeste
Salmonella enterica,stool,1999.0,Ribeirao Preto,GCA_003074615.1,SAMN08873686,SP,Sul
Salmonella enterica,feces,2009.0,Brazil,GCA_024701605.1,SAMN14605592,,
Salmonella enterica,feces,2009.0,Brazil,GCA_024701595.1,SAMN14605593,,
Salmonella enterica,blood,2012.0,Brazil,GCA_025176805.1,SAMN14832828,,
